Medal Count,Year,Discipline
3,1900,Golf
8,1900,Tennis
12,1904,Archery
3,1908,Archery
6,1908,Figure skating
6,1908,Tennis
3,1912,Diving
15,1912,Swimming
12,1912,Tennis
6,1920,Diving
6,1920,Figure skating
1,1920,Sailing
18,1920,Swimming
12,1920,Tennis
6,1924,Diving
1,1924,Eventing
3,1924,Fencing
29,1924,Swimming
12,1924,Tennis
36,1928,Artistic G.
24,1928,Athletics
6,1928,Diving
3,1928,Fencing
1,1928,Jumping
1,1928,Sailing
24,1928,Swimming
27,1932,Athletics
6,1932,Diving
3,1932,Fencing
24,1932,Swimming
24,1936,Artistic G.
27,1936,Athletics
6,1936,Diving
3,1936,Fencing
24,1936,Swimming
24,1948,Artistic G.
36,1948,Athletics
3,1948,Canoe / Kayak F
6,1948,Diving
3,1948,Fencing
24,1948,Swimming
63,1952,Artistic G.
36,1952,Athletics
3,1952,Canoe / Kayak F
6,1952,Diving
2,1952,Dressage
3,1952,Fencing
2,1952,Sailing
24,1952,Swimming
58,1956,Artistic G.
36,1956,Athletics
3,1956,Canoe / Kayak F
6,1956,Diving
7,1956,Dressage
2,1956,Eventing
3,1956,Fencing
4,1956,Jumping
27,1956,Swimming
33,1960,Artistic G.
39,1960,Athletics
9,1960,Canoe / Kayak F
6,1960,Diving
19,1960,Fencing
39,1960,Swimming
33,1964,Artistic G.
45,1964,Athletics
9,1964,Canoe / Kayak F
6,1964,Diving
1,1964,Dressage
17,1964,Fencing
1,1964,Jumping
42,1964,Swimming
36,1964,Volleyball
33,1968,Artistic G.
45,1968,Athletics
9,1968,Canoe / Kayak F
6,1968,Diving
3,1968,Dressage
18,1968,Fencing
2,1968,Jumping
60,1968,Swimming
36,1968,Volleyball
3,1972,Archery
33,1972,Artistic G.
60,1972,Athletics
9,1972,Canoe / Kayak F
3,1972,Canoe / Kayak S
6,1972,Diving
8,1972,Dressage
2,1972,Eventing
17,1972,Fencing
2,1972,Jumping
60,1972,Swimming
35,1972,Volleyball
3,1976,Archery
33,1976,Artistic G.
60,1976,Athletics
36,1976,Basketball
9,1976,Canoe / Kayak F
6,1976,Diving
7,1976,Dressage
1,1976,Eventing
18,1976,Fencing
42,1976,Handball
72,1976,Rowing
1,1976,Shooting
57,1976,Swimming
36,1976,Volleyball
3,1980,Archery
36,1980,Artistic G.
60,1980,Athletics
36,1980,Basketball
9,1980,Canoe / Kayak F
6,1980,Diving
2,1980,Dressage
3,1980,Eventing
18,1980,Fencing
42,1980,Handball
48,1980,Hockey
1,1980,Jumping
72,1980,Rowing
57,1980,Swimming
36,1980,Volleyball
3,1984,Archery
33,1984,Artistic G.
70,1984,Athletics
36,1984,Basketball
21,1984,Canoe / Kayak F
3,1984,Cycling Road
6,1984,Diving
8,1984,Dressage
7,1984,Eventing
18,1984,Fencing
41,1984,Handball
48,1984,Hockey
3,1984,Jumping
3,1984,Rhythmic G.
72,1984,Rowing
9,1984,Shooting
60,1984,Swimming
9,1984,Synchronized S.
36,1984,Volleyball
12,1988,Archery
34,1988,Artistic G.
72,1988,Athletics
36,1988,Basketball
21,1988,Canoe / Kayak F
3,1988,Cycling Road
3,1988,Cycling Track
6,1988,Diving
10,1988,Dressage
5,1988,Eventing
18,1988,Fencing
42,1988,Handball
48,1988,Hockey
2,1988,Jumping
3,1988,Rhythmic G.
69,1988,Rowing
6,1988,Sailing
12,1988,Shooting
67,1988,Swimming
9,1988,Synchronized S.
9,1988,Table Tennis
12,1988,Tennis
36,1988,Volleyball
12,1992,Archery
35,1992,Artistic G.
80,1992,Athletics
12,1992,Badminton
36,1992,Basketball
21,1992,Canoe / Kayak F
3,1992,Canoe / Kayak S
3,1992,Cycling Road
6,1992,Cycling Track
6,1992,Diving
11,1992,Dressage
2,1992,Eventing
18,1992,Fencing
40,1992,Handball
48,1992,Hockey
28,1992,Judo
3,1992,Rhythmic G.
66,1992,Rowing
12,1992,Sailing
13,1992,Shooting
76,1992,Swimming
9,1992,Synchronized S.
12,1992,Table Tennis
12,1992,Tennis
36,1992,Volleyball
12,1996,Archery
36,1996,Artistic G.
83,1996,Athletics
12,1996,Badminton
36,1996,Basketball
6,1996,Beach volley.
21,1996,Canoe / Kayak F
3,1996,Canoe / Kayak S
6,1996,Cycling Road
9,1996,Cycling Track
6,1996,Diving
9,1996,Dressage
7,1996,Eventing
24,1996,Fencing
50,1996,Football
48,1996,Handball
48,1996,Hockey
28,1996,Judo
3,1996,Jumping
3,1996,Mountain Bike
21,1996,Rhythmic G.
60,1996,Rowing
12,1996,Sailing
15,1996,Shooting
45,1996,Softball
90,1996,Swimming
30,1996,Synchronized S.
9,1996,Table Tennis
9,1996,Tennis
36,1996,Volleyball
12,2000,Archery
33,2000,Artistic G.
90,2000,Athletics
12,2000,Badminton
36,2000,Basketball
6,2000,Beach volley.
21,2000,Canoe / Kayak F
3,2000,Canoe / Kayak S
6,2000,Cycling Road
12,2000,Cycling Track
18,2000,Diving
12,2000,Dressage
5,2000,Eventing
26,2000,Fencing
54,2000,Football
45,2000,Handball
48,2000,Hockey
28,2000,Judo
1,2000,Jumping
3,2000,Modern Pentath.
3,2000,Mountain Bike
21,2000,Rhythmic G.
60,2000,Rowing
12,2000,Sailing
21,2000,Shooting
45,2000,Softball
94,2000,Swimming
30,2000,Synchronized S.
9,2000,Table Tennis
12,2000,Taekwondo
9,2000,Tennis
3,2000,Trampoline
3,2000,Triathlon
36,2000,Volleyball
39,2000,Water polo
21,2000,Weightlifting
12,2004,Archery
33,2004,Artistic G.
90,2004,Athletics
12,2004,Badminton
35,2004,Basketball
6,2004,Beach volley.
21,2004,Canoe / Kayak F
3,2004,Canoe / Kayak S
6,2004,Cycling Road
12,2004,Cycling Track
18,2004,Diving
8,2004,Dressage
8,2004,Eventing
20,2004,Fencing
50,2004,Football
45,2004,Handball
47,2004,Hockey
28,2004,Judo
2,2004,Jumping
3,2004,Modern Pentath.
3,2004,Mountain Bike
21,2004,Rhythmic G.
60,2004,Rowing
21,2004,Sailing
21,2004,Shooting
45,2004,Softball
94,2004,Swimming
33,2004,Synchronized S.
9,2004,Table Tennis
12,2004,Taekwondo
7,2004,Tennis
3,2004,Trampoline
3,2004,Triathlon
36,2004,Volleyball
39,2004,Water polo
21,2004,Weightlifting
12,2004,Wrestling Free.
12,2008,Archery
33,2008,Artistic G.
87,2008,Athletics
3,2008,BMX
12,2008,Badminton
36,2008,Basketball
6,2008,Beach volley.
21,2008,Canoe / Kayak F
3,2008,Canoe / Kayak S
6,2008,Cycling Road
9,2008,Cycling Track
18,2008,Diving
10,2008,Dressage
10,2008,Eventing
31,2008,Fencing
54,2008,Football
42,2008,Handball
48,2008,Hockey
28,2008,Judo
5,2008,Jumping
3,2008,Modern Pentath.
3,2008,Mountain Bike
21,2008,Rhythmic G.
60,2008,Rowing
21,2008,Sailing
18,2008,Shooting
45,2008,Softball
99,2008,Swimming
33,2008,Synchronized S.
12,2008,Table Tennis
16,2008,Taekwondo
9,2008,Tennis
3,2008,Trampoline
3,2008,Triathlon
36,2008,Volleyball
39,2008,Water polo
21,2008,Weightlifting
16,2008,Wrestling Free.
